CODIGO,DESCRIPCION,CALIDAD,COLOR,PRECIO_1,PRECIO_2
H0998,K51S,ORIG S/M,NEGRO,$161.00,$146.00
MOTO,,,,,
F1313,E13,ORIG S/M,NEGRO,$140.00,$127.00
EF013,E13 HG,HG ORIG S/M(BOUTIQUE),NEGRO,$162.00,$147.00
F0024,E14/G04/G04S/G24/G24 POWER,ORIG S/M,NEGRO,$152.00,$138.00
F0127+F,E20,ORIG C/M (BOUTIQUE),NEGRO,$197.00,$179.00
MO073,WF E20,HG ORIG C/M(BOUTIQUE),NEGRO,$205.00,$186.00
F0127,E20/XT2155,ORIG S/M,NEGRO,$141.00,$128.00
MO073,E20/XT2155,HG ORIG S/M(BOUTIQUE),NEGRO,$161.00,$146.00
F6011+F,E22,ORIG C/M(BOUTIQUE),NEGRO,$193.00,$175.00
MO092,WF E22,HG ORIG C/M (BOUTIQUE),NEGRO,$217.00,$197.00
F6011,E22/E22i,ORIG S/M,NEGRO,$138.00,$125.00
MO092,E22/E22i,HG ORIG S/M(BOUTIQUE),NEGRO,$143.00,$130.00
F1414,E30/E40,ORIG S/M,NEGRO,$158.00,$143.00
F1414+F,E30/E40,ORIG C/M(BOUTIQUE),NEGRO,$200.00,$182.00
MO074,E30/E40,HG ORIG S/M(BOUTIQUE),NEGRO,$164.00,$149.00
MO074,WF E30/E40,HG ORIG C/M(BOUTIQUE),NEGRO,$229.00,$208.00
F0055,E5 PLAY GO,ORIG S/M,NEGRO,$150.00,$135.00
F0855-O,E5PLUS,ORIG S/M,ORO,$168.00,$152.00
F0855-N,E5PLUS,ORIG S/M,NEGRO,$132.00,$120.00
F0037,E6PLAY,ORIG S/M,NEGRO,$129.00,$117.00
F0702,E6PLUS,ORIG S/M,NEGRO,$141.00,$128.00
MO029,WF E6PLUS,HG ORIG C/M (BOUTIQUE),NEGRO,$220.00,$198.00
F0125+F,E6S,ORIG C/M(BOUTIQUE),NEGRO,$217.00,$197.00
F0125,E6S/E6i,ORIG S/M,NEGRO,$154.00,$140.00
MO045,E6S/E6I,HG ORIG S/M(BOUTIQUE),NEGRO,$173.00,$157.00
MO053,WF E7,ORIG C/M(BOUTIQUE),NEGRO,$205.00,$186.00
F0296,E7/E7POWER/E7I/ E7IPOWER,ORIG S/M,NEGRO,$137.00,$124.00
MO053,E7/E7POWER/E7i/ E7iPOWER,HG ORIG S/M(BOUTIQUE),NEGRO,$156.00,$141.00
MO047,E7PLUS/G9/G9 PLAY,HG ORIG S/M(BOUTIQUE),NEGRO,$155.00,$140.00
F0456,E7PLUS/G9/G9PLAY,ORIG S/M,NEGRO,$140.00,$127.00
MO065,WF E7POWER,HG ORIG C/M(BOUTIQUE),NEGRO,$205.00,$186.00
F0400+F/g,EDGE 40 NEO,AMOLED C/M(BOUTIQUE),VERDE,$777.00,$706.00
F0400+F/L,EDGE 40 NEO,AMOLED C/M(BOUTIQUE),AZUL,$777.00,$706.00
F0400+F,EDGE 40 NEO,AMOLED C/M(BOUTIQUE),NEGRO,$777.00,$706.00
F0105,EDGE 40/EDGE 40 NEO/EDGE 2023,ORIG S/M,NEGRO,$603.00,$548.00
MO104,WF-A EDGE 50 FUSION C/M(BOUTIQUE),ORIG,AZUL,$778.00,$707.00
MO104,WF-V EDGE 50 FUSION C/M(BOUTIQUE),ORIG,VERDE-AZUL,$778.00,$707.00
F5500,EDGE 50 NEO/S50,OLED ORIG S/M(BOUTIQUE),NEGRO,$839.00,$762.00
F5500+F,EDGE 50 NEO/S50,OLED ORIG C/M(BOUTIQUE),NEGRO,$967.00,$879.00
F5050,EDGE 50 ULTRA/X50 ULTRA,ORIG S/M,NEGRO,$1032.00,$938.00
F2002,EDGE20 LITE,AMOLED S/M,NEGRO,$604.00,$549.00
F2002+F,EDGE20 LITE,AMOLED C/M(BOUTIQUE),NEGRO,$669.00,$608.00
MO112,EDGE20 LITE,HG-INCELL S/M(BOUTIQUE),NEGRO,$197.00,$179.00
F1133,EDGE30 NEO,OLED S/M,NEGRO,$1081.00,$982.00
MO103,WF-A EDGE40 NEO HG,AMOLED C/M(BOUTIQUE),AZUL,$778.00,$707.00
MO103,WF-N EDGE40 NEO HG,AMOLED C/M(BOUTIQUE),NEGRO,$778.00,$707.00
MO103,WF-V EDGE40 NEO HG,AMOLED C/M(BOUTIQUE),VERDE,$778.00,$707.00
MO103,EDGE40/EDGE40 NEO S/M(BOUTIQUE),ORIG,NEGRO,$621.00,$564.00
F0005+F/S,EDGE50 FUSION,ORIG C/M(BOUTIQUE),PLATEADO,$778.00,$707.00
F0005+F,EDGE50 FUSION,ORIG C/M(BOUTIQUE),NEGRO,$766.00,$696.00
MO104,WF-P EDGE50 FUSION S/M(BOUTIQUE),ORIG,PLATEADO,$778.00,$707.00
F0500,EDGE50 PRO,AMOLED S/M,NEGRO,$627.00,$570.00
F0ED60+F,EDGE60 CARTAN,ORIG C/M,NEGRO,$955.00,$867.00
HEG60FU,EDGE60 FUSION/EDGE60/EDGE60S S/M(BOUTIQUE),ORIG,NEGRO,$603.00,$548.00
F0ED60FU+F,EDGE60 FUSION/EDGE60S,ORIG C/M (BOUTIQUE),NEGRO,$912.00,$828.00
F0ED60FU,EDGE60/EDGE60 FUSION/EDGE60S,ORIG S/M(BOUTIQUE),NEGRO,$657.00,$597.00
HMEG70,EDGE70 S/M(BOUTIQUE),ORIG,NEGRO,$879.00,$799.00
F0GP23,G PLAY 2023,INCELL S/M,NEGRO,$176.00,$160.00
F0GP24,G PLAY 2024,INCELL S/M,NEGRO,$190.00,$172.00
F2224+F,G POWER 2022 4G,ORIG C/M(BOUTIQUE),NEGRO,$222.00,$201.00
F0040+F,G PURE 4G,ORIG C/M(BOUTIQUE),NEGRO,$258.00,$234.00
F2215+F,G STYLUS 2021 5G,ORIG C/M(BOUTIQUE),NEGRO,$361.00,$328.00
F2215,G STYLUS 2021 5G/XT2131,ORIG S/M,NEGRO,$285.00,$259.00
F2225+F,G STYLUS 2022 4G/5G C/DACTILAR,ORIG,NEGRO,$361.00,$328.00
F5023,G STYLUS 5G 2023,ORIG S/M,NEGRO,$234.00,$212.00
